"Risk","181","5","","0","1","0","0","0","0","0","0","0","","","","","","","31598946","5.46667","5.58074","2.1132","10365","25343","thing","Risk","2","6","120","120","120","1959","3,4,5,6","4","8 and up","No necessary in-game text","","","",,""
"Ticket to Ride: Europe","14996","9","","0","1","0","0","0","0","0","0","0","","","","","","","31598868","7.49124","7.59468","1.9682","68","31946","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8 and up","No necessary in-game text","","","",,""

