"Betrayal at House on the Hill","10547","0","","0","1","0","0","0","0","0","0","0","","","","","","","31590704","6.9446","7.10108","2.3422","342","20403","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12 and up","Extensive use of text - massive conversion needed to be playable","","","",,""
"Catan","13","0","","0","1","0","0","0","0","0","0","0","","","","","","","31590843","7.19832","7.33021","2.3668","176","75392","thing","Catan","3","4","120","120","60","1995","3,4","4","8 and up","Some necessary text - easily memorized or small crib sheet","","","",,""
