"Betrayal at House on the Hill","10547","0","","0","1","0","0","0","0","0","0","0","","","","","","","25802031","6.9446","7.10108","2.3422","342","20403","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12 and up","Extensive use of text - massive conversion needed to be playable","","","",,""
"Carcassonne","822","0","","0","1","0","0","0","0","0","0","0","","","","","","","25802248","7.34287","7.43725","1.9453","116","71844","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8 and up","No necessary in-game text","","","",,""
